,Number of Increases,Euclidean Distance,Absolute Rank Change,Relative Rank Change,Absolute Change,Relative Change,Combined Score
CHAC1,5,0.0004062585706402343,-154.0,-0.3657957244655582,-5.1002307287449816e-05,-0.6256699111911249,0.005199115627372591
CHAC2,0,1.0182852152299449e-05,-485.0,-0.11658653846153846,-3.692925274378037e-07,-0.7248304418866339,0.0
CHAD,3,2.6542452803193203e-05,1024.0,0.2113082955014445,2.582132249703064e-07,1.2264108019116147,0.0037479897271053423
CHAF1A,0,0.0002646989539978191,-543.0,-0.6581818181818182,-1.9596679395622544e-05,-0.7512106659672825,0.0
CHAF1B,0,3.4437572546497825e-05,-814.0,-0.28185595567867033,-1.4228636633873215e-06,-0.7234039591086879,0.0
CHAT,8,0.00027804383677985397,1822.0,0.6081441922563418,6.872407272628723e-06,3.8687928402623997,0.010716217227984146
CHCHD2,0,0.0,,,,,0.0
CHCHD6,0,0.0,,,,,0.0
CHCHD7,1,7.519071749093645e-06,486.0,0.09232522796352584,9.398839686367057e-08,inf,0.0016887630353868241
CHD1,0,0.00019072511743788208,-501.0,-0.5433839479392625,-1.555984536939501e-05,-0.7222754311384504,0.0
CHD1L,0,4.4608236476956944e-05,-625.0,-0.36443148688046645,-4.6062847535556565e-06,-0.6925273954241753,0.0
CHD2,16,0.0008218191435714417,-42.0,-0.17721518987341772,-8.359967981057187e-05,-0.4265452698037783,0.009343263979599262
CHD3,0,0.0,,,,,0.0
CHD4,0,3.902943197081518e-06,-117.0,-0.025302768166089964,-1.8767663296960408e-07,-0.641849675477394,0.0
CHD7,2,1.9139825583417776e-05,248.0,0.06253151790216843,-9.123760530300265e-08,-0.14553162137024037,0.0024344583433688134
CHD8,0,0.0,,,,,0.0
CHD9,0,4.955493902445169e-05,-736.0,-0.3161512027491409,-2.349230345623697e-06,-0.6973154758177706,0.0
CHDH,0,0.0,,,,,0.0
CHEK2,0,1.5406909773582788e-05,-615.0,-0.1631732555054391,-5.62802813242327e-07,-0.7235735134660903,0.0
CHERP,0,8.620990127062779e-05,-652.0,-0.3920625375826819,-4.889287915057765e-06,-0.7018792090687596,0.0
CHIA,10,0.0002827627725813131,522.0,0.33764553686934023,3.352213074225357e-06,0.41966446277855624,0.008236350609206492
CHIC1,0,0.0,,,,,0.0
CHIC2,6,2.8713024349139632e-05,-120.0,-0.06864988558352403,-3.1382930565218294e-06,-0.4897663831640463,0.0030915893491619793
CHKA,0,5.830906190294148e-06,-240.0,-0.05321507760532151,-2.3215306884324182e-07,-0.6923774963090727,0.0
